Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,"Clare, Cassandra",,"=""1416914293""","=""9781416914297""",0,4.12,Margaret K. McElderry Books,Hardcover,453,2008,2008,,2023/09/24,,,read,,,,1,0
61215384,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,4.56,William Morrow,Kindle Edition,432,2022,1955,,2023/09/24,,,read,,,,1,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",0,4.28,Modern Library,Paperback,279,2000,1813,,2023/09/24,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.80,Back Bay Books,Paperback,234,2001,1951,,2023/09/24,,,read,,,,1,0
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",0,4.14,Signet Classics,Mass Market Paperback,449,2004,1868,,2023/09/24,,,read,,,,1,0
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,"=""""","=""""",0,4.15,David Fickling Books,Hardcover,224,2006,2006,,2023/09/24,,,read,,,,1,0
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Charles E. Wilbour, Lee Fahnestock, Isabel Florence Hapgood, Norman MacAfee","=""""","=""""",0,4.20,Penguin,Mass Market Paperback,1463,1987,1862,,2023/09/24,,,read,,,,1,0
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",0,4.20,Harvest Books,Paperback,311,2005,1966,,2023/09/24,,,read,,,,1,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, Dieter Wellershoff, Bruno Goetz, Lev Tolstoj, Léon Tolstoï","=""""","=""""",0,4.08,Vintage,Paperback,964,2012,1878,,2023/09/24,,,read,,,,1,0
5907,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",0,4.28,Houghton Mifflin,Paperback,366,2002,1937,,2023/09/24,,,read,,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",0,3.97,Simon & Schuster,Kindle Edition,194,2011,1953,,2023/09/24,,,read,,,,1,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""""","=""""",0,4.04,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2023/09/24,,,read,,,,1,0
6969,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,"=""""","=""""",0,4.04,Penguin Books,Paperback,474,2003,1815,,2023/09/24,,,read,,,,1,0
